attack_id,location_names,campaign_name,verified_attack_type,attack_date,number_killed,number_wounded
-588903542,Nigeria,"Rebels vs. Nigeria & Allies","Confirmed Suicide",2014-07-28,0,6
409854487,Nigeria,"Rebels vs. Nigeria & Allies","Confirmed Suicide",2014-07-28,3,10
1412109251,Nigeria,"Rebels vs. Nigeria & Allies","Confirmed Suicide",2014-07-30,6,6
1412091963,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2014-08-01,2,0
1412113765,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-08-01,10,0
1412174776,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-08-02,8,32
1412260966,Somalia,"Somali Rebels vs. Ethiopia & Allies","Confirmed Suicide",2014-08-04,4,0
-631455797,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-08-07,17,24
-326953823,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-08-09,7,3
154510434,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-08-10,4,35
109493679,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-08-11,10,10
-651098257,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-08-12,0,0
13124832,Mali,"Rebels vs. Government of Mali & Allies","Confirmed Suicide",2014-08-16,2,9
-1024371974,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-08-22,30,0
-1815192714,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-08-23,0,16
-1649200379,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-08-23,0,4
-639612750,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-08-23,31,132
-120726397,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-08-23,9,0
1663826586,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-08-23,11,32
-1720239685,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-08-24,3,4
633900306,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-08-24,4,5
1398330337,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-08-24,0,7
1412357088,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-08-25,17,40
-371847849,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-08-28,2,3
1235493162,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-08-30,7,23
1339820843,Yemen,"Rebels vs. Yemen","Confirmed Suicide",2014-08-30,3,10
-1998902695,Somalia,"Somali Rebels vs. Ethiopia & Allies","Confirmed Suicide",2014-08-31,5,0
-268232181,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-08-31,14,18
206992902,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-08-31,37,21
1412369639,Yemen,"Rebels vs. Yemen","Confirmed Suicide",2014-08-31,3,10
1412370766,Yemen,"Rebels vs. Yemen","Confirmed Suicide",2014-08-31,5,2
1414419692,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-09-02,3,2
1462901152,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-09-04,12,50
1527549544,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-09-04,14,35
37696343,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-09-05,1,7
-1187862307,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-09-07,3,6
-1982765647,Somalia,"Somali Rebels vs. Ethiopia & Allies","Confirmed Suicide",2014-09-08,0,1
1773592975,Somalia,"Somali Rebels vs. Ethiopia & Allies","Confirmed Suicide",2014-09-08,12,27
-1605929158,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-09-09,40,50
1494131195,Yemen,"Rebels vs. Yemen","Confirmed Suicide",2014-09-09,4,6
-1074548187,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-09-10,8,12
-139198851,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-09-10,8,30
1414443927,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-09-13,0,0
-477934013,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-09-15,0,0
839242077,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2014-09-15,1,1
211302982,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-09-16,4,16
1414681792,Lebanon,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-09-20,3,0
-1761620271,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2014-09-23,5,29
-1020218113,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-09-24,0,4
1231051725,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-09-24,7,15
1575220596,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2014-09-25,3,8
2090329259,Yemen,"Rebels vs. Yemen","Confirmed Suicide",2014-09-28,40,50
1345863406,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-09-29,8,24
1414606166,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-09-29,7,13
677680545,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-09-30,48,0
1416346611,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-10-01,7,15
1416424873,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-10-01,48,115
1416844998,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-01,15,43
2116030197,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-10-01,0,6
1416601770,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2014-10-04,5,25
-589795852,Russia,"Chechen Separatists vs. Russia","Confirmed Suicide",2014-10-05,5,12
1005715232,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-10-05,24,0
-140832476,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-06,17,13
1416429337,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-10-06,35,0
-2132998127,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-10-08,0,0
-309019163,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-08,9,24
1224348701,Yemen,"Rebels vs. Yemen","Confirmed Suicide",2014-10-08,9,0
1416518516,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-10-08,5,19
-1972609003,Yemen,"Rebels vs. Yemen","Confirmed Suicide",2014-10-09,47,75
-1821807149,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-09,10,11
1416844186,Yemen,"Rebels vs. Yemen","Confirmed Suicide",2014-10-09,20,15
1427906664,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-10-10,0,0
-1134924211,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-11,13,31
-405226059,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-11,0,4
233121484,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-10-11,2,4
236885883,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-10-11,2,0
384638149,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-11,18,24
463917170,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-11,7,25
514211654,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-12,20,45
1306020495,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-10-12,6,8
1467303785,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-12,20,45
1467310066,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-12,20,45
-1915947370,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-13,15,34
728849319,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-13,11,31
844946171,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-10-13,2,8
1038068227,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-10-13,0,2
1071221496,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-10-13,0,2
1443114679,Syria,"Rebels vs. Syria & Allies","Confirmed Suicide",2014-10-13,0,0
1515616937,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-10-13,1,3
-836089136,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2014-10-14,0,0
847835649,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-10-14,25,60
-1826037327,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-10-15,8,5
1416605081,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2014-10-15,5,10
1417555908,Somalia,"Somali Rebels vs. Ethiopia & Allies","Confirmed Suicide",2014-10-15,5,7
